classcode,scientificname ,shape,missingdimension,formulaformissingdimension,hd,formulaforbiovolume,formulaforsurface,formulaforweight1,formulaforweight2,missingdimensionsimplified,formulaformissingdimensionsimplified,formulaforbiovolumesimplified,formulaforsurfacesimplified,measurementremarks,mostlk
761,Stephanopyxis palmeriana,cylinder+2 half spheres,h,hd*d,1.588414162,(pi*(d^2)*((h/4)+(d/6))),(pi*d*(d+h)),0.26*Biovolume^0.86,0.288*Biovolume^0.811,W,hd*length,(pi*(length^2)*((width/4)+(length/6))),(pi*length*(length+width)),valvar,n
766,Pleurosira laevis,prism on elliptic base,b,hd*a,0.440896359,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
770,Asteromphalus flabellatus,cylinder,h,hd*d,0.378246443,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,W,hd*length,(pi/4)*(length^2)*width,pi*length*((length/2)+width),valvar,y
771,Coscinodiscus argus,cylinder,h,hd*d,0.624265653,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,W,hd*length,(pi/4)*(length^2)*width,pi*length*((length/2)+width),valvar,y
775,Asteromphalus,cylinder,h,hd*d,0.378246443,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,W,hd*length,(pi/4)*(length^2)*width,pi*length*((length/2)+width),valvar,y
776,Asteromphalus heptactis,cylinder,h,hd*d,0.378246443,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,W,hd*length,(pi/4)*(length^2)*width,pi*length*((length/2)+width),valvar,y
779,Asteromphalus flabellatus,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(length^2)*width,pi*length*((length/2)+width),girdle,n
781,Eucampia,prism on elliptic base,b,hd*a,0.4,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
788,Eucampia zodiacus,prism on elliptic base,b,hd*a,0.4,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,b,hd*length,(pi/4)*length*b*width,(pi/2)*((length*b)+(width*(length+b))),girdle,y
790,Fragilariaceae,prism on elliptic base,c,hd*a,0.117301819,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(pi/4)*length*width*c,(pi/2)*((length*width)+(c*(length+length))),valvar,y
794,Eunotia ,sickle-shaped prism,c,hd*a,0.013176471,((pi/4)*(h*a*c)),(((pi/4)*((h*a)+(a*c)+(h*c)))+(h*c)),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),frontal,y
803,Prymnesiophyceae,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),morethan20,y
804,Prymnesiophyceae,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),lessthan20,y
806,Coelosphaerium,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),unique,y
808,Coccolithophyceae,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),lessthan20,y
809,Gloeocystis,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),unique,y
810,Oocystis,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),unique,y
815,Oocystissolitaria,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),unique,y
818,Chroococcus,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
819,Chroococcus turgidus,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
820,Staurastrum,2 truncated cones,no,no,,(pi/6)*h*((d1^2)+(d1*d2)+(d2^2)),(pi*l*(d1+d2))+((pi/2)*(d1^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),frontal,y
821,Staurastrum gracile,2 truncated cones,no,no,,(pi/6)*h*((d1^2)+(d1*d2)+(d2^2)),(pi*l*(d1+d2))+((pi/2)*(d1^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),frontal,y
825,Schroederia setigera,double cone,no,no,,(pi/12)*h*d^2,(pi/2)*d*(sqrt(h^2+d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*width^2,(pi/2)*width*(sqrt(length^2+width^2)),unique,y
827,Gomphosphaeria aponina,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
830,Meringosphaera,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
835,Coelastrum,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
838,Siderocelis ornata,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),unique,y
839,Siderocelis,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),unique,y
840,Crucigenia,cube,no,no,,a^3,6*a^2,0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,length^3,6*length^2,unique,y
841,Tetrastrum,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
842,Tetrastrum glabrum,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
843,Tetrastrum triangulare,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
845,Euglenaceae,half ellipsoid+cone on elliptic base,c,hd*(h+h1),0.087037037,((pi/12)*b*c)*(h1+h),NA,0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,((pi/12)*width*c)*(((length-(length/3))+length/3)),NA,frontal,y
846,Crucigenia tetrapedia,cube,no,no,,a^3,6*a^2,0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,length^3,6*length^2,unique,y
847,Crucigeniella rectangularis,cube,no,no,,a^3,6*a^2,0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,length^3,6*length^2,unique,y
848,Kirchneriella obesa,double cone,no,no,,(pi/12)*h*d^2,(pi/2)*d*(sqrt(h^2+d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*width^2,(pi/2)*width*(sqrt(length^2+width^2)),frontal,y
849,Kirchneriella,double cone,no,no,,(pi/12)*h*d^2,(pi/2)*d*(sqrt(h^2+d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*width^2,(pi/2)*width*(sqrt(length^2+width^2)),frontal,y
850,Ankistrodesmus,cylinder+2 cones,no,no,,((pi/4)*(d^2)*(h+(d/3))),(pi*d)*(h-(((4-(sqrt(3)))/4)*d)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,((pi/4)*(width^2)*(length+(width/3))),(pi*width)*(length-(((4-(sqrt(3)))/4)*width)),frontal,y
851,Monoraphidium griffithii,cylinder+2 cones,no,no,,((pi/4)*(d^2)*(h+(d/3))),(pi*d)*(h-(((4-(sqrt(3)))/4)*d)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,((pi/4)*(width^2)*(length+(width/3))),(pi*width)*(length-(((4-(sqrt(3)))/4)*width)),unique,y
857,Lyngbya,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
860,Tetraedron minimum,parallelepiped,c,hd*a,0.844444444,a*b*c,((2*(a*b))+(2*(b*c))+(2*(a*c))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,length*width*c,((2*(length*width))+(2*(width*c))+(2*(length*c))),frontal,y
865,Dictyosphaerium,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),unique,y
869,Woronichinia,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),frontal,y
870,Pediastrum,prism on elliptic base,c,hd*a,0.231287243,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/4)*length*width*c,(pi/2)*((length*width)+(c*(length+length))),frontal,y
875,Genicularia,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
876,Zygnema,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
877,Monoraphidium contortum,cylinder+2 cones,no,no,,((pi/4)*(d^2)*(h+(d/3))),(pi*d)*(h-(((4-(sqrt(3)))/4)*d)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,((pi/4)*(width^2)*(length+(width/3))),(pi*width)*(length-(((4-(sqrt(3)))/4)*width)),unique,y
879,Monoraphidium,double cone,no,no,,(pi/12)*h*d^2,(pi/2)*d*(sqrt(h^2+d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*width^2,(pi/2)*width*(sqrt(length^2+width^2)),unique,y
881,Cyanophyceae,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),lessthan20,y
882,Cyanophyceae,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),around100,y
884,Spirulina subsalsa,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
885,Oscillatoria,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
887,Cyanophyceae,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),morethan20,y
888,Trichodesmium erythraeum,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
889,Anabaena,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
890,Pterosperma,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
891,Oocystaceae,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),unique,y
894,Chroococcaceae,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
895,Chlorellaceae,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
897,Pseudopedinella,truncated cone,no,no,,(pi/12)*h*((d1^2)+(d1*d2)+(d2^2)),(pi*((d1/2)+(d2/2))*l)+(pi*(((d1^2)/4)+((d2^2)/4))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),frontal,y
899,Chodatella,ellipsoid,c,hd*h,,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
902,Lagerheimia minor,ellipsoid,c,hd*h,0.545454545,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
903,Lagerheimia genevensis,ellipsoid,c,hd*h,0.545454545,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
904,Lagerheimia,ellipsoid,c,hd*h,0.545454545,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
907,Desmidiaceae,2 half ellipsoids ,c1,hd*h1,0.330952381,((pi/12)*(b1*c1*h1))+((pi/12)*(b2*c1*h1)),(1/2*((pi/4)*(b1+c1)*(((b1+c1)/2)+(((2*(h1^2))/((sqrt(4*h1^2-((b1+c1)^2)))))*asin((sqrt(4*h1^2-((b1+c1)^2)))/(2*h1))))))+(1/2*((pi/4)*(b2+c1)*(((b2+c1)/2)+(((2*(h1^2))/((sqrt(4*h1^2-((b2+c1)^2)))))*(asin((sqrt(4*h1^2-((b2+c1)^2)))/(2*h1)))))))-((pi/2)*h*c1),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),frontal,y
909,Ollicola,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),unique,y
910,Dictyocha fibula,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
911,Hermesinum adriaticum,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
912,Paulinella ovalis,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),unique,y
913,Hermesinum,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
915,Dictyocha,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
917,Hillea,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),frontal,y
918,Rhynchomonas nasuta,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),unique,y
919,Euglena acusformis,half ellipsoid+cone on elliptic base,c,hd*(h+h1),0.087037037,((pi/12)*b*c)*(h1+h),NA,0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*(h+h1),((pi/12)*width*c)*(((length-(length/3))+length/3)),NA,frontal,y
920,Cosmarium,2 half ellipsoids ,c1,hd*h1,0.330952381,((pi/12)*(b1*c1*h1))+((pi/12)*(b2*c1*h1)),(1/2*((pi/4)*(b1+c1)*(((b1+c1)/2)+(((2*(h1^2))/((sqrt(4*h1^2-((b1+c1)^2)))))*asin((sqrt(4*h1^2-((b1+c1)^2)))/(2*h1))))))+(1/2*((pi/4)*(b2+c1)*(((b2+c1)/2)+(((2*(h1^2))/((sqrt(4*h1^2-((b2+c1)^2)))))*(asin((sqrt(4*h1^2-((b2+c1)^2)))/(2*h1)))))))-((pi/2)*h*c1),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),frontal,y
921,Chlorella,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
922,Lagerheimia longiseta,ellipsoid,c,hd*h,0.545454545,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
923,Cosmarium bioculatum,2 half ellipsoids+prism on elliptic base,c1,hd*h1,0.330952381,((pi/12)*(b1*c1*h1))+((pi/12)*(b2*c1*h1))+((pi/4)*a*c1*c),(1/2*((pi/4)*(b1+c1)*(((b1+c1)/2)+(((2*(h1^2))/((sqrt(4*h1^2-((b1+c1)^2)))))*asin((sqrt(4*h1^2-((b1+c1)^2)))/(2*h1))))))+(1/2*((pi/4)*(b2+c1)*(((b2+c1)/2)+(((2*(h1^2))/((sqrt(4*h1^2-((b2+c1)^2)))))*(asin((sqrt(4*h1^2-((b2+c1)^2)))/(2*h1)))))))+((pi/2)*(a+c1)*c)-((pi/2)*a*c1),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),frontal,y
924,Cosmarium laeve,2 half ellipsoids+prism on elliptic base,c1,hd*h1,0.330952381,((pi/12)*(b1*c1*h1))+((pi/12)*(b2*c1*h1))+((pi/4)*a*c1*c),(1/2*((pi/4)*(b1+c1)*(((b1+c1)/2)+(((2*(h1^2))/((sqrt(4*h1^2-((b1+c1)^2)))))*asin((sqrt(4*h1^2-((b1+c1)^2)))/(2*h1))))))+(1/2*((pi/4)*(b2+c1)*(((b2+c1)/2)+(((2*(h1^2))/((sqrt(4*h1^2-((b2+c1)^2)))))*(asin((sqrt(4*h1^2-((b2+c1)^2)))/(2*h1)))))))+((pi/2)*(a+c1)*c)-((pi/2)*a*c1),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),frontal,y
925,Cosmarium margaritiferum,2 half ellipsoids+prism on elliptic base,c1,hd*h1,0.330952381,((pi/12)*(b1*c1*h1))+((pi/12)*(b2*c1*h1))+((pi/4)*a*c1*c),(1/2*((pi/4)*(b1+c1)*(((b1+c1)/2)+(((2*(h1^2))/((sqrt(4*h1^2-((b1+c1)^2)))))*asin((sqrt(4*h1^2-((b1+c1)^2)))/(2*h1))))))+(1/2*((pi/4)*(b2+c1)*(((b2+c1)/2)+(((2*(h1^2))/((sqrt(4*h1^2-((b2+c1)^2)))))*(asin((sqrt(4*h1^2-((b2+c1)^2)))/(2*h1)))))))+((pi/2)*(a+c1)*c)-((pi/2)*a*c1),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),frontal,y
931,Chrysochromulina,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),unique,y
940,Chromulinaceae,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
941,Chrysophyceae,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),unique,y
945,Ochromonadaceae,cone,no,no,,(pi/12)*h*(d^2),(pi/4)*d*(d+(sqrt(4*h^2+d^2))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/12)*length*(width^2),(pi/4)*width*(width+(sqrt(4*length^2+width^2))),unique,y
